=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.28s]  Mówię
[117.48s - 117.96s]  głębiej
[117.96s - 118.68s]  sięgnąć.
[118.86s - 119.40s]  Należałoby
[119.40s - 120.62s]  sprawdzić,
[120.62s - 120.84s]  że
[120.84s - 121.44s]  właśnie,
[121.44s - 121.62s]  jeżeli
[121.62s - 121.84s]  ta
[121.84s - 122.74s]  sumienność
[122.74s - 122.92s]  jest
[122.92s - 123.94s]  obniżona,
[124.08s - 124.14s]  czy
[124.14s - 124.40s]  tam
[124.40s - 124.64s]  w
[124.64s - 125.18s]  ramach
[125.42s - 125.84s]  pięciu
[125.84s - 126.00s]  nie
[126.00s - 126.70s]  pojawiał
[126.70s - 126.86s]  się
[126.86s - 127.00s]  jakieś
[127.00s - 127.32s]  bardziej
[127.32s - 127.96s]  szczegółowe
[127.96s - 128.92s]  dane.
[129.08s - 129.16s]  I
[129.16s - 129.28s]  oni
[129.28s - 129.46s]  tego
[129.46s - 129.66s]  nie
[129.66s - 130.00s]  widzą,
[130.00s - 130.20s]  dlatego
[130.20s - 130.68s]  my
[130.68s - 131.30s]  moglibyśmy
[131.30s - 131.42s]  to
[131.42s - 132.22s]  pokazać,
[132.22s - 132.72s]  tak?
[132.78s - 133.04s]  Że
[133.04s - 133.20s]  my
[133.20s - 133.42s]  mamy
[133.42s - 133.88s]  na...
[134.66s - 135.30s]  Mogę
[135.30s - 135.42s]  się
[135.42s - 135.64s]  trochę
[135.64s - 136.28s]  odnieść,
[136.28s - 136.30s]  bo
[136.30s - 136.38s]  ja
[136.38s - 136.52s]  też
[136.52s - 136.66s]  na
[136.66s - 136.92s]  początek
[136.92s - 137.02s]  jak
[137.02s - 137.32s]  robiłem
[137.32s - 137.94s]  tych
[137.94s - 138.30s]  fajek,
[138.30s - 138.38s]  co
[138.38s - 138.48s]  daś
[138.48s - 138.56s]  mi
[138.56s - 139.08s]  wyszańiska
[139.08s - 139.64s]  sumienność
[139.64s - 139.84s]  i
[139.84s - 139.96s]  właśnie
[139.96s - 140.22s]  jak
[140.22s - 140.66s]  zacznę
[140.66s - 141.60s]  patrzeć
[141.60s - 141.82s]  w
[141.82s - 141.86s]  te
[141.86s - 142.58s]  szczegółowe
[142.58s - 143.60s]  dane,
[144.00s - 144.00s]  No
[144.00s - 144.10s]  to
[144.10s - 144.26s]  tak
[144.26s - 144.58s]  naprawdę
[144.58s - 145.14s]  wyszło,
[145.30s - 146.02s]  sama
[146.02s - 146.64s]  sumienność
[146.64s - 146.82s]  i
[146.82s - 147.08s]  dekorpo
[147.08s - 147.20s]  jest
[147.20s - 147.30s]  my
[147.30s - 147.50s]  duty
[147.50s - 147.96s]  full,
[147.96s - 148.02s]  to
[148.02s - 148.16s]  miał
[148.16s - 148.60s]  na,
[148.60s - 148.86s]  podejrzeć
[148.86s - 149.18s]  4
[149.18s - 149.62s]  punkty
[149.62s - 149.92s]  tak,
[149.92s - 150.04s]  ale
[150.04s - 150.20s]  byłaby
[150.20s - 150.42s]  te
[150.42s - 150.72s]  wszystkie
[150.72s - 151.24s]  inne
[151.24s - 151.66s]  poboztą
[151.66s - 151.96s]  miałem
[151.96s - 153.00s]  nisko.
[153.02s - 153.12s]  I
[153.12s - 153.46s]  też
[153.46s - 153.62s]  jak
[153.62s - 154.02s]  patrzyłem
[154.02s - 154.18s]  tak
[154.18s - 155.08s]  poglądowo
[155.08s - 155.28s]  na
[155.28s - 155.44s]  te
[155.44s - 155.98s]  dane,
[155.98s - 155.98s]  to
[155.98s - 156.14s]  właśnie
[156.14s - 156.32s]  tak
[156.32s - 156.58s]  właśnie
[156.58s - 157.46s]  było,
[157.46s - 158.34s]  że
[158.34s - 158.84s]  jakby,
[158.84s - 159.02s]  że
[159.02s - 159.14s]  jest
[159.14s - 159.30s]  jakby
[159.30s - 159.54s]  jedna
[159.54s - 160.24s]  dominująca
[160.24s - 160.92s]  pod
[160.92s - 161.60s]  wartość
[161.60s - 161.84s]  tej
[161.84s - 163.26s]  sumienności,
[163.26s - 163.32s]  a
[163.32s - 163.58s]  reszta
[163.58s - 163.90s]  inna
[163.90s - 164.12s]  jest
[164.12s - 164.52s]  na
[164.52s - 164.68s]  bardzo
[164.68s - 164.96s]  niskim
[164.96s - 166.08s]  poziomie.
[166.20s - 166.46s]  Proszę,
[166.46s - 166.54s]  może
[166.54s - 166.66s]  nie
[166.66s - 166.84s]  bardzo
[166.84s - 167.16s]  niskim,
[167.16s - 167.24s]  ale
[167.24s - 167.38s]  na
[167.38s - 167.68s]  niskim
[167.68s - 168.12s]  poziomie.
[168.32s - 168.32s]  I
[168.32s - 168.46s]  przez
[168.46s - 168.72s]  to
[168.72s - 169.78s]  cały
[169.78s - 169.96s]  ten
[169.96s - 170.22s]  wynik
[170.22s - 170.46s]  pochodzi
[170.46s - 170.68s]  taki
[170.68s - 171.64s]  niskim.
[172.48s - 172.62s]  Ale
[172.62s - 172.98s]  właśnie
[172.98s - 173.66s]  dzięki
[173.66s - 174.04s]  temu,
[174.04s - 174.24s]  że
[174.24s - 174.42s]  mamy
[174.42s - 174.64s]  też
[174.64s - 175.20s]  szczegółowe
[175.20s - 176.06s]  dane,
[176.12s - 176.24s]  możemy
[176.24s - 176.94s]  zobaczyć
[176.94s - 177.30s]  co
[177.30s - 178.90s]  poszczególne
[178.90s - 179.10s]  osoby
[179.10s - 179.38s]  na
[179.38s - 179.52s]  co
[179.52s - 179.74s]  warto
[179.74s - 180.30s]  zwracać
[180.30s - 181.08s]  uwagę.
[182.16s - 183.04s]  W
[183.04s - 183.24s]  jaki
[183.24s - 183.56s]  sposób
[183.56s - 183.92s]  można
[183.92s - 184.98s]  motywować?
[185.26s - 185.30s]  Bo
[185.30s - 185.66s]  to
[185.66s - 185.80s]  by
[185.80s - 185.98s]  było
[185.98s - 186.30s]  dosyć
[186.30s - 187.24s]  ciekawe,
[187.24s - 187.70s]  wyobraźcie
[187.70s - 187.90s]  sobie
[187.90s - 188.26s]  boli
[188.26s - 188.58s]  swojego
[188.58s - 188.82s]  czasu
[188.82s - 189.72s]  mówili,
[189.72s - 189.88s]  że
[189.88s - 190.06s]  mamy
[190.06s - 190.82s]  agent,
[190.82s - 191.08s]  że
[191.08s - 191.34s]  oni
[191.34s - 191.60s]  będą
[191.60s - 192.02s]  wrzucać
[192.02s - 192.12s]  na
[192.12s - 192.70s]  dyskorda
[192.70s - 193.04s]  agenta,
[193.04s - 193.34s]  który
[193.34s - 193.62s]  będzie
[193.62s - 194.84s]  odpowiadał.
[194.50s - 195.56s]  Na
[195.56s - 195.84s]  przykład
[195.84s - 196.76s]  użytkowili,
[196.76s - 197.58s]  no
[197.58s - 197.84s]  właśnie
[197.84s - 198.06s]  i
[198.06s - 198.22s]  teraz
[198.22s - 198.76s]  wyobraźmy
[198.76s - 199.02s]  sobie
[199.02s - 199.82s]  agent,
[200.06s - 200.66s]  mógłby
[200.66s - 201.96s]  rozpoznawać
[201.96s - 202.44s]  osobę
[202.44s - 202.54s]  z
[202.54s - 202.72s]  którą
[202.72s - 203.48s]  rozmawia
[203.48s - 204.16s]  i
[204.16s - 204.26s]  w
[204.26s - 204.38s]  ten
[204.38s - 204.92s]  sposób
[205.84s - 206.98s]  dobierać
[206.98s - 207.44s]  język,
[207.44s - 207.56s]  w
[207.54s - 207.64s]  jaki
[207.64s - 207.94s]  będzie
[207.94s - 208.76s]  komunikował
[208.76s - 209.08s]  różne
[209.08s - 210.66s]  rzeczy.
[210.86s - 210.88s]  Bo
[210.88s - 211.22s]  np.
[211.22s - 211.40s]  jeżeli
[211.40s - 211.58s]  ktoś
[211.58s - 211.74s]  jest
[211.74s - 212.80s]  wrażliwa
[212.80s - 213.20s]  osoba
[213.20s - 213.46s]  albo
[213.46s - 213.60s]  na
[213.60s - 213.74s]  coś
[213.74s - 213.94s]  tam
[213.94s - 214.38s]  zwracą
[214.38s - 214.66s]  uwagę
[214.66s - 214.88s]  na
[214.88s - 215.04s]  to
[215.04s - 215.22s]  czy
[215.22s - 215.40s]  na
[215.40s - 215.92s]  to,
[216.06s - 216.14s]  to
[216.14s - 216.38s]  ten
[216.38s - 216.68s]  agent
[216.68s - 217.44s]  znając
[217.44s - 217.52s]  to
[217.52s - 218.18s]  osobowość,
[218.18s - 218.40s]  mógłbym
[218.40s - 219.02s]  odpowiedni
[219.02s - 219.34s]  sposób
[219.34s - 219.58s]  do
[219.58s - 219.80s]  niej
[219.80s - 220.36s]  mówić,
[220.82s - 220.84s]  żeby
[220.84s - 222.20s]  np.
[222.20s - 222.28s]  nie
[222.28s - 222.70s]  urazić,
[222.70s - 223.82s]  podtrzymać
[223.82s - 225.20s]  konwersację,
[225.20s - 225.46s]  żeby
[225.46s - 225.70s]  coś
[225.70s - 226.40s]  tokolwiek,
[226.62s - 227.46s]  gdyby
[227.46s - 228.92s]  znał
[228.92s - 229.10s]  te
[229.10s - 230.38s]  rzeczy,
[230.38s - 231.14s]  te
[231.14s - 232.18s]  właściwości,
[232.18s - 232.34s]  to
[232.34s - 232.48s]  o
[232.48s - 232.62s]  tym
[232.62s - 233.12s]  pomyślałam,
[233.24s - 233.38s]  czyli,
[233.38s - 233.50s]  ale
[233.50s - 233.62s]  my
[233.62s - 233.80s]  mamy
[233.80s - 233.90s]  to
[233.90s - 234.18s]  bardziej
[234.18s - 234.68s]  szczegółowo,
[234.68s - 234.96s]  możemy
[234.96s - 235.18s]  to
[235.18s - 235.80s]  rozpisać.
[235.92s - 235.94s]  Jósz
[235.94s - 236.18s]  jedna
[236.18s - 237.44s]  rzecz.
[237.64s - 237.90s]  Druga
[237.90s - 238.32s]  rzecz,
[238.32s - 238.78s]  uszwarca
[238.78s - 239.32s]  mamy,
[239.32s - 239.52s]  tam
[239.52s - 239.80s]  będą
[239.80s - 240.16s]  takie
[240.16s - 240.50s]  te
[240.50s - 242.04s]  indywidualne
[242.04s - 242.66s]  19,
[242.90s - 242.90s]  dlatego
[242.90s - 243.22s]  też
[243.22s - 244.20s]  pomyślałem
[244.20s - 244.28s]  o
[244.28s - 244.38s]  tym,
[244.38s - 244.52s]  żeby
[244.52s - 245.20s]  pokazać,
[245.28s - 245.28s]  że
[245.28s - 245.40s]  my
[245.40s - 245.54s]  mamy
[245.54s - 245.76s]  jeszcze
[245.76s - 245.94s]  to
[245.94s - 246.86s]  zagrygowane
[246.86s - 247.76s]  rzeczy,
[247.76s - 248.14s]  pytanie,
[248.14s - 248.18s]  czy
[248.18s - 249.48s]  poziom
[249.48s - 250.26s]  zagrygowanych
[250.26s - 250.48s]  tych
[250.48s - 251.24s]  wartości,
[251.24s - 251.46s]  tych
[251.46s - 253.62s]  motywacyjnych,
[253.76s - 253.88s]  tych
[253.88s - 255.98s]  przekonań,
[255.98s - 256.26s]  żeby
[256.26s - 256.82s]  zobaczyć
[256.82s - 256.94s]  czy
[256.94s - 257.06s]  z
[257.06s - 257.18s]  tego
[257.18s - 257.42s]  coś
[257.42s - 258.12s]  wyjdzie.
[258.46s - 258.54s]  I
[258.54s - 258.82s]  jeszcze
[258.82s - 259.30s]  jedna,
[259.30s - 262.12s]  myślę,
[262.12s - 262.22s]  że
[262.22s - 263.28s]  w
[263.28s - 263.50s]  ogóle
[263.50s - 263.74s]  w
[263.74s - 264.04s]  kursie,
[264.04s - 264.26s]  akurat
[264.26s - 264.46s]  w
[264.46s - 264.72s]  tym,
[264.72s - 264.74s]  bo
[264.74s - 264.86s]  mamy
[264.86s - 265.10s]  taki
[265.10s - 265.78s]  specyficzny
[265.78s - 266.16s]  kurs,
[266.16s - 266.22s]  to
[266.22s - 266.54s]  to
[266.54s - 266.68s]  jest
[266.68s - 267.42s]  tak
[267.42s - 267.66s]  powiem
[267.66s - 268.28s]  naturalnie
[268.28s - 269.52s]  istnieje,
[269.72s - 269.74s]  ale
[269.74s - 269.86s]  nie
[269.86s - 269.98s]  wiem
[269.98s - 270.12s]  czy
[270.12s - 270.42s]  macie,
[270.42s - 270.74s]  nawet
[270.74s - 270.92s]  jak
[270.92s - 271.02s]  są
[271.02s - 271.16s]  te
[271.16s - 271.50s]  lajwy
[271.50s - 272.26s]  nasze,
[272.26s - 273.04s]  które
[273.04s - 273.28s]  tam
[273.28s - 273.42s]  są
[273.42s - 273.54s]  w
[273.54s - 273.98s]  czwartki
[273.98s - 274.18s]  teraz
[274.18s - 275.20s]  miesiącu,
[275.32s - 275.44s]  że
[275.44s - 275.64s]  ktoś
[275.64s - 275.88s]  tak
[275.88s - 276.42s]  dopytuje
[276.42s - 276.76s]  bardzo
[276.76s - 276.94s]  do
[276.94s - 277.52s]  ciekliwie
[277.52s - 278.02s]  i
[278.02s - 278.14s]  to
[278.14s - 278.34s]  też
[278.34s - 279.12s]  charakteryzuje
[279.12s - 279.64s]  tą
[279.64s - 280.20s]  grupę,
[280.20s - 280.46s]  kto
[280.46s - 281.24s]  umiejszą,
[281.54s - 281.66s]  ale
[281.66s - 282.14s]  też
[282.14s - 283.50s]  prowadzący
[283.50s - 283.82s]  jest
[283.82s - 284.06s]  tak
[284.06s - 285.08s]  ustosunkowany,
[285.08s - 285.14s]  że
[285.14s - 285.30s]  go
[285.30s - 285.46s]  to
[285.46s - 285.62s]  nie
[285.62s - 286.08s]  razi,
[286.08s - 286.16s]  że
[286.16s - 286.34s]  ktoś
[286.34s - 286.48s]  jest
[286.48s - 286.92s]  podważa
[286.92s - 287.24s]  jego
[287.24s - 288.20s]  pytania
[288.20s - 288.34s]  i
[288.34s - 288.50s]  tak
[288.50s - 288.76s]  dalej
[288.76s - 288.90s]  i
[288.90s - 289.00s]  tak
[289.00s - 289.56s]  dalej.
[289.00s - 289.04s]  do
[289.04s - 289.36s]  tego,
[289.36s - 289.98s]  że
[289.98s - 289.98s]  to
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[289.98s - 289.98s]  to,
[289.98s - 289.98s]  że
[289.98s - 289.98s]  jest
[296.12s - 296.50s]  to
[296.50s - 296.74s]  wyszło
[296.74s - 296.92s]  akurat
[296.92s - 297.16s]  sposób
[297.16s - 298.26s]  naturalny.
[298.44s - 298.46s]  Natomiast
[298.46s - 298.98s]  dobranie
[298.98s - 299.12s]  do
[299.12s - 299.38s]  takiej
[299.38s - 299.84s]  grupy
[299.84s - 300.46s]  takich
[300.46s - 301.62s]  mentorów,
[301.62s - 301.68s]  czy
[301.68s - 302.54s]  prowadzących,
[302.54s - 302.82s]  którzy
[302.82s - 303.04s]  się
[303.04s - 303.20s]  nie
[303.20s - 303.46s]  będą
[303.46s - 303.70s]  tym
[303.70s - 304.40s]  zerażać,
[304.40s - 304.50s]  jest
[304.50s - 305.00s]  bardzo
[305.00s - 305.90s]  efektyzny.
[306.00s - 306.12s]  Co
[306.12s - 306.30s]  myślę,
[306.30s - 306.50s]  że
[306.50s - 306.60s]  w
[306.60s - 306.90s]  przypadku
[306.90s - 307.08s]  na
[307.08s - 307.28s]  przykład
[307.28s - 307.74s]  maćka,
[307.74s - 307.92s]  który
[307.92s - 308.06s]  ma
[308.06s - 308.28s]  takie
[308.28s - 309.34s]  zacięcie,
[309.34s - 309.90s]  bardzo
[309.90s - 310.20s]  dobrze
[310.20s - 311.00s]  widać.
[311.02s - 311.58s]  Szczególnie
[311.58s - 311.72s]  gdy
[311.72s - 311.88s]  są
[311.88s - 312.86s]  osoby,
[312.86s - 312.86s]  które
[312.86s - 313.92s]  coś
[313.92s - 314.04s]  tu
[314.04s - 314.68s]  podważyć,
[314.68s - 314.80s]  coś
[314.80s - 315.38s]  zasuberować,
[315.38s - 315.88s]  innego
[315.88s - 315.98s]  i
[315.98s - 316.10s]  tak
[316.10s - 316.36s]  dalej
[316.36s - 316.48s]  i
[316.48s - 316.58s]  tak
[316.58s - 317.36s]  dalej,
[317.64s - 317.78s]  to
[317.78s - 318.64s]  super,
[318.64s - 319.44s]  super
[319.44s - 320.56s]  współra.
[320.70s - 320.96s]  Jeszcze
[320.96s - 321.22s]  jedna
[321.22s - 321.42s]  rzecz,
[321.42s - 321.72s]  która
[321.72s - 322.46s]  wychodzi,
[322.46s - 322.62s]  myślę,
[322.62s - 322.74s]  że
[322.74s - 322.88s]  tak
[322.88s - 323.10s]  można
[323.10s - 323.56s]  troszeczkę
[323.56s - 323.96s]  żartem,
[323.96s - 324.06s]  że
[324.32s - 324.54s]  My
[324.54s - 325.02s]  musieliśmy
[325.02s - 325.62s]  zapłacić,
[325.62s - 325.78s]  żeby
[325.78s - 326.12s]  zrobić
[326.12s - 326.26s]  dla
[326.26s - 326.60s]  kogoś
[326.60s - 327.18s]  analizę
[327.18s - 328.46s]  dla
[328.46s - 328.88s]  A
[328.88s - 329.26s] -Hein.
[329.36s - 329.46s]  Wszystko
[329.46s - 329.80s]  bardzo
[329.80s - 330.18s]  mocno
[330.18s - 330.50s]  wyszło
[330.50s - 330.62s]  i
[330.62s - 330.70s]  to
[330.70s - 330.86s]  chyba
[330.86s - 330.98s]  w
[330.98s - 331.64s]  ankietach,
[331.64s - 332.18s]  poprawnie
[332.18s - 332.88s]  antyjenie,
[332.88s - 332.96s]  żeby
[332.96s - 333.10s]  nie
[333.10s - 333.22s]  jest
[333.22s - 333.30s]  nie
[333.30s - 333.56s]  tak,
[333.56s - 333.68s]  na
[333.68s - 334.06s]  przykład
[334.06s - 334.28s]  do
[334.28s - 334.84s]  poprawie
[334.84s - 334.96s]  jest
[334.96s - 335.28s]  bardzo
[335.28s - 336.18s]  mocno,
[336.96s - 336.96s]  chyba
[336.96s - 337.40s]  ten,
[337.40s - 337.62s]  ja
[337.62s - 337.74s]  nie
[337.74s - 338.16s]  doszedłem
[338.16s - 338.26s]  do
[338.26s - 338.40s]  tego
[338.40s - 338.78s]  poziomu,
[338.78s - 338.90s]  bo
[338.90s - 339.22s]  ostatnio
[339.22s - 339.58s]  odstawiłem
[339.78s - 339.94s]  bardzo
