=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.38s]  Mówię,
[55.68s - 56.80s]  grupa
[56.80s - 56.94s]  jako
[56.94s - 57.18s]  taka
[57.18s - 58.32s]  specyficzna,
[58.76s - 58.96s]  ona
[58.96s - 59.36s]  sama
[59.36s - 59.54s]  w
[59.54s - 59.80s]  sobie
[59.80s - 60.60s]  przejawia
[60.60s - 61.66s]  tendencje,
[61.72s - 61.88s]  co
[61.88s - 62.00s]  w
[62.00s - 62.28s]  sumie
[62.28s - 63.38s]  wyobrażało
[63.38s - 63.50s]  z
[63.50s - 63.74s]  tego,
[63.74s - 63.80s]  co
[63.80s - 64.90s]  słyszymy,
[64.90s - 65.10s]  do
[65.10s - 65.76s]  tego,
[65.76s - 65.88s]  że
[65.88s - 66.84s]  ma
[66.84s - 67.54s]  trudności
[67.54s - 68.42s]  z
[68.42s - 69.76s]  dociąganiem
[69.76s - 70.18s]  celów
[70.18s - 70.44s]  chyba
[70.44s - 70.76s]  tak,
[70.76s - 71.06s]  bo
[71.06s - 71.16s]  to
[71.16s - 71.36s]  chyba
[71.36s - 71.72s]  jakoś
[71.72s - 71.98s]  w
[71.98s - 72.08s]  tą
[72.08s - 72.50s]  stronę,
[72.50s - 72.56s]  tam
[72.56s - 73.34s]  było,
[73.34s - 73.96s]  to
[73.96s - 74.14s]  było
[74.14s - 74.48s]  związane
[74.48s - 74.64s]  z
[74.64s - 75.00s]  którąś
[75.00s - 75.10s]  z
[75.10s - 75.50s]  cech
[75.50s - 80.50s]  osobowości.
[77.00s - 80.82s]  Tak,
[80.82s - 80.90s]  tak,
[80.90s - 81.20s]  tak,
[81.20s - 81.22s]  tak,
[81.22s - 81.42s]  jakoś
[81.42s - 81.74s]  tak,
[81.74s - 81.94s]  to
[81.94s - 82.12s]  było
[82.12s - 82.48s]  chyba
[82.48s - 84.00s]  obniżone,
[84.00s - 84.14s]  my
[84.14s - 84.68s]  mamy,
[84.70s - 85.00s]  to
[85.00s - 85.12s]  jest
[85.12s - 85.44s]  tylko
[85.44s - 86.04s]  właśnie
[86.04s - 86.82s]  adriant,
[86.82s - 86.96s]  to
[86.96s - 87.06s]  by
[87.06s - 87.28s]  można
[87.28s - 87.52s]  było
[87.52s - 88.42s]  sprawdzić.
[88.94s - 89.50s]  Ta
[89.50s - 89.76s]  cecha
[89.76s - 89.90s]  w
[89.90s - 90.84s]  sumienności,
[90.84s - 91.24s]  jaka
[91.24s - 91.46s]  kurde
[91.46s - 91.60s]  nie
[91.60s - 91.72s]  ma,
[91.72s - 91.90s]  nawet
[91.90s - 92.02s]  nie
[92.02s - 92.20s]  mogę
[92.20s - 93.22s]  otworzyć.
[93.36s - 93.50s]  Ja
[93.50s - 93.64s]  ci
[93.64s - 93.88s]  naprawdę
[93.88s - 95.54s]  przyczytęć.
[95.62s - 95.70s]  Ale
[95.70s - 95.94s]  chodzi
[95.94s - 96.10s]  o
[96.10s - 96.38s]  to,
[96.38s - 97.42s]  bo
[97.42s - 97.54s]  chodzi
[97.54s - 97.70s]  o
[97.70s - 98.02s]  to,
[98.02s - 98.22s]  w
[98.22s - 98.42s]  ramach
[98.42s - 98.78s]  jakiej
[98.78s - 98.92s]  to
[98.92s - 99.10s]  jest
[99.10s - 100.20s]  cecha
[100.20s - 100.96s]  osobowości,
[100.96s - 101.02s]  ta
[101.02s - 101.88s]  sumienność.
[102.06s - 102.16s]  Ona
[102.16s - 102.86s]  sądzielna?
[102.86s - 103.16s]  Nie.
[103.16s - 103.52s]  Tak,
[103.52s - 103.52s]  to
[103.52s - 103.66s]  ona
[103.66s - 104.04s]  są,
[104.04s - 104.28s]  ona
[104.28s - 104.72s]  są...
[105.12s - 105.28s]  Ona
[105.28s - 105.38s]  jest
[105.38s - 105.96s]  oddzielna.
[106.00s - 106.00s]  Ona
[106.00s - 106.18s]  ma
[106.18s - 106.38s]  jeszcze
[106.38s - 106.50s]  te
[106.50s - 106.70s]  5
[106.70s - 107.52s]  podpoziomów,
[107.52s - 107.78s]  tak?
[107.98s - 107.98s]  No
[107.98s - 108.56s]  właśnie,
[108.56s - 108.62s]  i
[108.62s - 108.70s]  by
[108.70s - 108.94s]  można
[108.94s - 109.16s]  było
[109.16s - 109.68s]  sprawdzić,
[109.68s - 109.76s]  bo
[109.76s - 110.12s]  tego
[110.12s - 110.88s]  użytkownicy
[110.88s - 111.06s]  nie
[111.06s - 111.40s]  widzą.
[111.54s - 111.54s]  Dlatego
[111.54s - 111.70s]  ja
[111.70s - 112.10s]  mówiłem,
[112.10s - 112.16s]  że
[112.16s - 112.98s]  oni
[112.98s - 113.30s]  widzą
[113.30s - 113.58s]  pewne
[113.58s - 113.96s]  ogólne
[113.96s - 114.52s]  rzeczy,
[114.52s - 114.60s]  te
[114.60s - 114.92s]  5
[114.92s - 115.54s]  podstawowych.
[115.78s - 115.78s]  Natomiast
[115.78s - 116.04s]  my
[116.04s - 116.32s]  możemy
[116.32s - 117.00s]  pokazać,
[117.00s - 117.08s]  że
[117.08s - 117.18s]  my
[117.18s - 117.40s]  możemy
[117.40s - 117.96s]  głębiej
[117.96s - 118.56s]  sięgnąć.
[118.80s - 118.86s]  I
[118.86s - 119.40s]  należałoby
[119.40s - 120.62s]  sprawdzić,
[120.62s - 120.82s]  że
[120.82s - 121.44s]  właśnie,
[121.44s - 121.62s]  jeżeli
[121.62s - 121.84s]  ta
[121.84s - 122.76s]  sumienność
[122.76s - 122.94s]  jest
[122.94s - 124.04s]  obniżona,
[124.04s - 124.14s]  czy
[124.14s - 124.38s]  tam
[124.38s - 124.78s]  w
[124.78s - 125.18s]  ramach
[125.18s - 125.42s]  tych
[125.42s - 125.84s]  pięciu
[125.84s - 126.00s]  nie
[126.00s - 126.76s]  pojawiały
[126.76s - 126.86s]  się
[126.86s - 127.00s]  jakieś
[127.00s - 127.32s]  bardziej
[127.32s - 127.96s]  szczegółowe
[127.96s - 128.92s]  dane.
[129.06s - 129.16s]  I
[129.16s - 129.26s]  oni
[129.26s - 129.48s]  tego
[129.48s - 129.66s]  nie
[129.66s - 130.02s]  widzą,
[130.02s - 130.22s]  dlatego
[130.22s - 130.68s]  my
[130.68s - 131.30s]  moglibyśmy
[131.30s - 131.42s]  to
[131.42s - 132.24s]  pokazać,
[132.24s - 132.68s]  tak?
[132.76s - 133.04s]  Że
[133.04s - 133.20s]  my
[133.20s - 133.42s]  mamy
[133.42s - 133.84s]  na...
[134.68s - 135.08s]  Ja
[135.08s - 135.28s]  mogę
[135.28s - 135.44s]  się
[135.44s - 135.64s]  trochę
[135.64s - 136.26s]  odnieść,
[136.26s - 136.30s]  bo
[136.30s - 136.38s]  ja
[136.38s - 136.50s]  też
[136.50s - 136.64s]  na
[136.64s - 136.78s]  początku
[136.78s - 137.34s]  grubiłem
[137.34s - 137.56s]  ten
[137.56s - 137.98s]  Big
[137.98s - 138.18s]  Fight.
[138.40s - 138.40s]  Teraz
[138.40s - 138.54s]  mi
[138.54s - 138.64s]  już
[138.64s - 138.82s]  na
[138.82s - 139.06s]  miska
[139.06s - 139.62s]  sumienność
[139.62s - 139.84s]  i
[139.84s - 140.02s]  właśnie
[140.02s - 140.82s]  jak
[140.82s - 141.22s]  zaczęłem
[141.22s - 141.60s]  patrzeć
[141.60s - 141.76s]  w
[141.76s - 141.88s]  te
[141.88s - 142.58s]  szczegółowe
[142.58s - 143.76s]  dane,
[143.00s - 144.02s]  No
[144.02s - 144.10s]  to
[144.10s - 144.28s]  tak
[144.28s - 144.46s]  naprawdę
[144.46s - 145.14s]  wyszło,
[145.14s - 145.26s]  że
[145.26s - 146.04s]  sama
[146.04s - 146.64s]  sumność
[146.64s - 146.82s]  i
[146.82s - 147.16s]  rokopiec
[147.16s - 147.30s]  my
[147.30s - 147.50s]  duty
[147.50s - 147.96s]  full,
[147.96s - 148.02s]  to
[148.02s - 148.24s]  miała
[148.24s - 148.64s]  w
[148.64s - 148.86s]  podejrzeć
[148.86s - 149.18s]  4
[149.18s - 149.82s]  punkty,
[149.82s - 150.02s]  ale
[150.02s - 150.24s]  jakby
[150.24s - 150.42s]  te
[150.42s - 150.72s]  wszystkie
[150.72s - 151.24s]  inne
[151.24s - 151.64s]  pobośle
[151.64s - 151.84s]  miało
[151.84s - 153.02s]  mięsko.
[153.02s - 153.12s]  I
[153.12s - 153.48s]  też
[153.48s - 153.60s]  jak
[153.60s - 154.04s]  patrzyłem
[154.04s - 154.18s]  tak
[154.18s - 155.08s]  poglądowo
[155.08s - 155.28s]  na
[155.28s - 155.42s]  te
[155.42s - 155.98s]  dane,
[155.98s - 155.98s]  to
[155.98s - 156.16s]  właśnie
[156.16s - 156.32s]  tak
[156.32s - 156.56s]  właśnie
[156.56s - 157.38s]  było,
[157.38s - 158.34s]  że
[158.34s - 158.84s]  jakby,
[158.84s - 159.02s]  że
[159.02s - 159.16s]  jest
[159.16s - 159.32s]  jakby
[159.32s - 159.52s]  jedna
[159.52s - 160.22s]  dominująca
[160.22s - 160.92s]  pod
[160.92s - 161.60s]  wartość
[161.60s - 162.04s]  tej
[162.04s - 163.26s]  sumienności,
[163.26s - 163.32s]  a
[163.32s - 163.58s]  reszta
[163.58s - 163.92s]  inna
[163.92s - 164.12s]  jest
[164.12s - 164.52s]  na
[164.52s - 164.68s]  bardzo
[164.68s - 164.96s]  niskim
[164.96s - 166.08s]  poziomie.
[166.18s - 166.38s]  Może
[166.38s - 166.66s]  nie
[166.66s - 166.84s]  bardzo
[166.84s - 167.06s]  nisk
[167.06s - 167.20s]  na
[167.20s - 167.68s]  niskim
[167.68s - 167.98s]  poziomie
[167.98s - 168.32s]  i
[168.32s - 168.46s]  przez
[168.46s - 168.72s]  to
[168.72s - 169.80s]  cały
[169.80s - 169.98s]  ten
[169.98s - 170.22s]  wynik
[170.22s - 170.48s]  wychodzi
[170.48s - 170.60s]  dla
[170.60s - 171.68s]  kiniski.
[172.48s - 172.62s]  Ale
[172.62s - 173.00s]  właśnie
[173.00s - 173.66s]  dzięki
[173.66s - 174.02s]  temu,
[174.02s - 174.24s]  że
[174.24s - 174.44s]  mamy
[174.44s - 174.66s]  też
[174.66s - 175.20s]  szczegółowe
[175.20s - 176.06s]  dane,
[176.06s - 176.24s]  możemy
[176.24s - 176.94s]  zobaczyć
[176.94s - 177.28s]  co
[177.28s - 178.88s]  poszczególne
[178.88s - 179.30s]  osoby,
[179.38s - 179.38s]  na
[179.38s - 179.52s]  co
[179.52s - 179.74s]  warto
[179.74s - 180.30s]  zwracać
[180.30s - 181.32s]  uwagę.
[181.32s - 183.06s]  W
[183.06s - 183.24s]  jaki
[183.24s - 183.54s]  sposób
[183.54s - 183.92s]  można
[183.92s - 185.16s]  motywować?
[185.22s - 185.30s]  Bo
[185.30s - 185.66s]  to
[185.66s - 185.80s]  by
[185.80s - 186.00s]  było
[186.00s - 186.28s]  dosyć
[186.28s - 187.22s]  ciekawe.
[187.28s - 187.70s]  Wyobraźcie
[187.70s - 188.06s]  sobie,
[188.06s - 188.12s]  bo
[188.12s - 188.26s]  oni
[188.26s - 188.58s]  swojego
[188.58s - 188.80s]  czasu
[188.80s - 189.76s]  mówili,
[189.76s - 189.88s]  że
[189.88s - 190.08s]  mamy
[190.08s - 190.82s]  agent,
[190.82s - 191.08s]  że
[191.08s - 191.34s]  oni
[191.34s - 191.62s]  będą
[191.62s - 192.02s]  wrzucać
[192.02s - 192.12s]  na
[192.12s - 192.70s]  dyskorda
[192.70s - 193.24s]  agenta,
[193.24s - 193.34s]  który
[193.34s - 193.64s]  będzie
[193.64s - 194.70s]  odpowiadał.
[195.50s - 195.58s]  Na
[195.58s - 195.84s]  przykład
[195.84s - 196.48s]  użytkownik
[196.48s - 197.68s]  nowu
[197.68s - 197.94s]  właśnie
[197.94s - 198.04s]  i
[198.04s - 198.22s]  teraz
[198.22s - 198.76s]  wyobraźmy
[198.76s - 198.98s]  sobie
[198.98s - 199.80s]  agent,
[200.32s - 200.66s]  mógłby
[200.66s - 201.98s]  rozpoznawać
[201.98s - 202.52s]  osobę,
[202.52s - 202.56s]  z
[202.56s - 202.70s]  którą
[202.70s - 203.46s]  rozmawia
[203.46s - 204.16s]  i
[204.16s - 204.26s]  w
[204.26s - 204.38s]  ten
[204.38s - 204.94s]  sposób
[205.48s - 206.98s]  dobierać
[206.98s - 207.44s]  język,
[207.44s - 207.54s]  w
[207.54s - 207.64s]  jaki
[207.64s - 207.96s]  będzie
[207.96s - 208.76s]  komunikował
[208.76s - 209.10s]  różne
[209.10s - 210.44s]  rzeczy.
[210.86s - 210.88s]  Bo
[210.88s - 210.96s]  na
[210.96s - 211.20s]  przykład,
[211.20s - 211.40s]  jeżeli
[211.40s - 211.60s]  ktoś
[211.60s - 211.74s]  jest
[211.74s - 212.14s]  jakaś
[212.14s - 212.80s]  wrażliwa
[212.80s - 213.20s]  osoba
[213.20s - 213.46s]  albo
[213.46s - 213.60s]  na
[213.60s - 213.76s]  coś
[213.76s - 213.92s]  tam
[213.92s - 214.38s]  zwracą
[214.38s - 214.64s]  uwagę
[214.64s - 214.86s]  na
[214.86s - 215.04s]  to
[215.04s - 215.22s]  czy
[215.22s - 215.38s]  na
[215.38s - 215.94s]  to,
[216.04s - 216.12s]  to
[216.12s - 216.36s]  ten
[216.36s - 217.04s]  agent,
[217.04s - 217.42s]  znając
[217.42s - 217.50s]  to
[217.50s - 218.18s]  osobowość,
[218.18s - 218.40s]  mógłby
[218.40s - 218.50s]  w
[218.50s - 219.02s]  odpowiedni
[219.02s - 219.32s]  sposób
[219.32s - 219.58s]  do
[219.58s - 219.80s]  niej
[219.80s - 220.26s]  mówić,
[220.84s - 220.84s]  żeby
[220.84s - 221.78s]  na
[221.78s - 222.06s]  przykład
[222.06s - 222.28s]  nie
[222.28s - 223.04s]  urazić,
[223.04s - 223.82s]  podtrzymać
[223.82s - 225.24s]  konwersację,
[225.24s - 225.46s]  żeby
[225.46s - 225.68s]  coś
[225.68s - 226.38s]  tokolwiek,
[226.38s - 227.46s]  gdyby
[227.46s - 228.90s]  znał
[228.90s - 229.10s]  te
[229.10s - 230.40s]  rzeczy,
[230.40s - 231.12s]  te
[231.12s - 232.12s]  właściwości.
[232.34s - 232.34s]  To
[232.34s - 232.50s]  o
[232.50s - 232.64s]  tym
[232.64s - 233.14s]  pomyślam,
[233.14s - 233.36s]  czyli,
[233.36s - 233.50s]  ale
[233.50s - 233.62s]  my
[233.62s - 233.78s]  mamy
[233.78s - 233.90s]  to
[233.90s - 234.16s]  bardziej
[234.16s - 234.68s]  szczegółowo,
[234.68s - 234.96s]  możemy
[234.96s - 235.16s]  to
[235.16s - 235.74s]  rozpisać,
[235.74s - 235.84s]  jest
[235.84s - 236.18s]  jedna
[236.18s - 237.56s]  rzecz.
[237.62s - 237.90s]  Druga
[237.90s - 238.32s]  rzecz,
[238.32s - 238.80s]  uszwarca
[238.80s - 239.32s]  mamy,
[239.32s - 239.52s]  tam
[239.52s - 239.80s]  będą
[239.80s - 240.18s]  takie
[240.18s - 240.52s]  te
[240.52s - 242.04s]  indywidualne
[242.04s - 242.66s]  19,
[242.66s - 242.92s]  dlatego
[242.92s - 243.22s]  też
[243.22s - 244.20s]  pomyślałem
[244.20s - 244.28s]  o
[244.28s - 244.38s]  tym,
[244.38s - 244.52s]  że
[244.52s - 245.20s]  pokazać,
[245.28s - 245.28s]  że
[245.28s - 245.40s]  my
[245.40s - 245.54s]  mamy
[245.54s - 245.76s]  jeszcze
[245.76s - 245.94s]  to
[245.94s - 246.84s]  zagregowane
[246.84s - 247.74s]  rzeczy,
[247.74s - 248.14s]  pytanie,
[248.14s - 248.16s]  czy
[248.16s - 248.42s]  te
[248.42s - 249.00s]  te
[249.00s - 249.48s]  poziom
[249.48s - 250.28s]  zagregowanych
[250.28s - 250.46s]  tych
[250.46s - 251.22s]  wartości,
[251.46s - 251.46s]  tych
[251.46s - 253.62s]  motywacyjnych,
[253.62s - 253.80s]  tak,
[253.80s - 253.96s]  tych
[253.96s - 255.38s]  przekonań,
[255.38s - 256.02s]  tak,
[256.02s - 256.32s]  żeby
[256.32s - 256.86s]  zobaczyć
[256.86s - 256.94s]  czy
[256.94s - 257.06s]  z
[257.06s - 257.18s]  tego
[257.18s - 257.40s]  coś
[257.40s - 258.12s]  wyjdzie.
[258.42s - 258.50s]  I
[258.50s - 258.82s]  jeszcze
[258.82s - 259.28s]  jedna,
[259.28s - 262.12s]  myślę,
[262.12s - 262.22s]  że
[262.22s - 263.28s]  w
[263.28s - 263.50s]  ogóle
[263.50s - 263.72s]  w
[263.72s - 264.04s]  kursie
[264.04s - 264.24s]  akurat
[264.24s - 264.46s]  w
[264.46s - 264.64s]  tym,
[264.68s - 264.72s]  bo
[264.72s - 264.86s]  mamy
[264.86s - 265.08s]  taki
[265.08s - 265.80s]  specyficzny
[265.80s - 266.22s]  kurs,
[266.22s - 266.22s]  to
[266.22s - 266.56s]  to
[266.56s - 266.68s]  jest
[266.68s - 267.40s]  tak
[267.40s - 267.66s]  powiem
[267.66s - 268.28s]  naturalnie
[268.28s - 269.52s]  istnieje,
[269.66s - 269.74s]  ale
[269.74s - 269.86s]  nie
[269.86s - 269.98s]  wiem
[269.98s - 270.12s]  czy
[270.12s - 270.42s]  macie,
[270.42s - 270.74s]  nawet
[270.74s - 270.90s]  jak
[270.90s - 271.02s]  są
[271.02s - 271.16s]  te
[271.16s - 271.60s]  livey
[271.60s - 272.28s]  nasze,
[272.28s - 273.00s]  które
[273.00s - 273.26s]  tam
[273.26s - 273.42s]  są
[273.42s - 273.54s]  w
[273.54s - 273.98s]  czwartki
[273.98s - 274.08s]  z
[274.08s - 274.32s]  razy
[274.32s - 275.26s]  miesiącu,
[275.32s - 275.44s]  że
[275.44s - 275.66s]  ktoś
[275.66s - 275.86s]  tak
[275.86s - 276.42s]  dopytuje
[276.42s - 276.76s]  bardzo
[276.76s - 277.48s]  dociekliwie
[277.48s - 278.02s]  i
[278.02s - 278.14s]  to
[278.14s - 278.34s]  też
[278.34s - 279.12s]  charakteryzuje
[279.12s - 279.62s]  tą
[279.62s - 280.26s]  grupę,
[280.26s - 280.48s]  kto
[280.48s - 281.26s]  umiejszą,
[281.60s - 281.66s]  ale
[281.66s - 282.14s]  też
[282.14s - 283.50s]  prowadzący
[283.50s - 283.82s]  jest
[283.82s - 284.06s]  tak
[284.06s - 285.06s]  ustosunkowany,
[285.06s - 285.14s]  że
[285.14s - 285.30s]  go
[285.30s - 285.46s]  to
[285.46s - 285.62s]  nie
[285.62s - 286.08s]  razi,
[286.08s - 286.16s]  że
[286.16s - 286.32s]  ktoś
[286.32s - 286.48s]  jest
[286.48s - 287.00s]  podważa
[287.00s - 287.26s]  jego
[287.26s - 288.20s]  pytania
[288.20s - 288.34s]  i
[288.34s - 288.48s]  tak
[288.48s - 288.74s]  dalej
[288.74s - 288.88s]  i
[288.88s - 289.00s]  tak
[289.00s - 289.64s]  dalej.
[289.88s - 289.90s]  I
[289.90s - 290.40s]  to
[290.40s - 290.64s]  też
[290.64s - 290.80s]  właśnie
[290.80s - 290.98s]  w
[290.98s - 291.06s]  tej
[291.06s - 291.50s]  analizie
[291.50s - 291.72s]  takie
[291.72s - 292.10s]  ogólne
[292.10s - 292.68s]  pokazało,
[292.68s - 292.82s]  że
[292.82s - 293.30s]  właśnie
[293.30s - 293.90s]  dobranie
[293.90s - 294.36s]  takich,
[294.36s - 294.94s]  np.
[294.94s - 295.04s]  do
[295.04s - 295.32s]  takiej
[295.32s - 296.20s]  grupy,
[296.20s - 296.48s]  to
[296.48s - 296.72s]  wyszło
[296.72s - 296.92s]  akurat
[296.92s - 297.18s]  sposób
[297.18s - 298.26s]  naturalny.
[298.36s - 298.40s]  Natomiast
[298.40s - 298.98s]  dobranie
[298.98s - 299.12s]  do
[299.12s - 299.36s]  takiej
[299.36s - 300.14s]  grupy,
[300.14s - 300.44s]  takich
[300.44s - 301.54s]  mentorów,
[301.54s - 301.68s]  czy
[301.68s - 302.54s]  prowadzących,
[302.54s - 302.80s]  którzy
[302.80s - 303.04s]  się
[303.04s - 303.20s]  nie
[303.20s - 303.48s]  będą
[303.48s - 303.72s]  tym
[303.72s - 304.34s]  zerażać,
[304.34s - 304.48s]  jest
[304.48s - 305.00s]  bardzo
[305.00s - 305.98s]  efektyzne.
[306.00s - 306.12s]  Co
[306.12s - 306.30s]  myślę,
[306.30s - 306.48s]  że
[306.48s - 306.58s]  w
[306.58s - 306.90s]  przypadku
[306.90s - 307.38s]  np.
[307.38s - 307.74s]  maczka,
[307.74s - 307.92s]  który
[307.92s - 308.06s]  ma
[308.06s - 308.30s]  takie
[308.30s - 309.32s]  zacięcie,
[309.32s - 309.92s]  bardzo
[309.92s - 310.18s]  dobrze
[310.18s - 310.96s]  widać.
[310.98s - 311.58s]  Szczególnie,
[311.58s - 311.74s]  gdy
[311.74s - 311.88s]  są
[311.88s - 312.62s]  osoby,
[312.62s - 312.62s]  które
[312.62s - 313.88s]  coś
[313.88s - 314.06s]  tu
[314.06s - 314.68s]  podważyć,
[314.68s - 314.76s]  coś
[314.76s - 315.36s]  zasugerować,
[315.36s - 315.86s]  innego
[315.86s - 316.44s]  itd.
[316.84s - 317.78s]  To
[317.78s - 318.64s]  super,
[318.64s - 319.44s]  super
[319.44s - 320.62s]  współgra.
[320.66s - 320.96s]  Jeszcze
[320.96s - 321.22s]  jedna
[321.22s - 321.70s]  rzecz,
[321.70s - 321.70s]  która
[321.70s - 322.46s]  wychodzi,
[322.46s - 322.62s]  myślę,
[322.62s - 322.74s]  że
[322.74s - 322.88s]  tak
[322.88s - 323.10s]  można
[323.10s - 323.56s]  troszeczkę
[323.56s - 323.96s]  żartem,
[323.96s - 324.06s]  że
[324.06s - 324.52s]  my
[324.54s - 325.02s]  musieliśmy
[325.02s - 325.58s]  zapłacić,
[325.58s - 325.78s]  żeby
[325.78s - 326.10s]  zrobić
[326.10s - 326.26s]  dla
[326.26s - 326.60s]  kogoś
[326.60s - 327.16s]  analizę
[327.16s - 328.48s]  dla
[328.48s - 329.22s]  AI,
[329.30s - 329.30s]  na
[329.30s - 329.44s]  przykład
[329.44s - 329.80s]  bardzo
[329.80s - 330.18s]  mocno
[330.18s - 330.52s]  wyszło
[330.52s - 330.62s]  i
[330.62s - 330.70s]  to
[330.70s - 330.86s]  chyba
[330.86s - 330.98s]  w
[330.98s - 331.50s]  ankietach
[331.50s - 332.18s]  poprawnie
[332.18s - 332.68s]  antyjanie,
[332.90s - 332.98s]  jeżeli
[332.98s - 333.20s]  jest
[333.20s - 333.30s]  nie
[333.30s - 333.56s]  tak,
[333.56s - 333.64s]  że
[333.64s - 333.74s]  na
[333.74s - 334.06s]  przykład
[334.06s - 334.28s]  do
[334.28s - 334.82s]  poprawy
[334.82s - 334.94s]  jest
[334.94s - 335.28s]  bardzo
[335.28s - 336.48s]  mocno,
[336.96s - 336.96s]  chyba
[336.96s - 337.38s]  ten,
[337.38s - 337.62s]  ja
[337.62s - 337.74s]  nie
[337.74s - 338.14s]  doszedłem
[338.14s - 338.24s]  do
[338.24s - 338.40s]  tego
[338.40s - 338.82s]  poziomu,
[338.82s - 338.90s]  bo
[338.90s - 339.22s]  ostatnio
[339.22s - 339.64s]  odstawiłem
[339.64s - 339.92s]  bardzo
[339.92s - 340.26s]  mocno
[340.26s - 341.24s]  kurs,
